# 2km 경쟁점 폐업 대조 — 판정칸(영업/폐업/모름)은 비어 있다. 채우지 않은 칸은 '모름'이다.
등급,매장명,매장코드,구분,거리m,상호,주소,위도,경도,공식DB,같은자리의심,카카오맵링크,판정,메모
C,전대후문점,20231215406,500m밖,1096,굿PC,전남광주통합특별시 북구 용주로30번길 56,35.180537,126.903729,,,"https://map.kakao.com/link/map/%EA%B5%BFPC,35.180536961169,126.90372854191",,
C,전대후문점,20231215406,500m밖,1113,지구성인게임랜드,전남광주통합특별시 북구 서방로107번길 29,35.171882,126.924836,,,"https://map.kakao.com/link/map/%EC%A7%80%EA%B5%AC%EC%84%B1%EC%9D%B8%EA%B2%8C%EC%9E%84%EB%9E%9C%EB%93%9C,35.1718817460841,126.924836060245",,
C,전대후문점,20231215406,500m밖,1130,힐링PC카페,전남광주통합특별시 북구 서방로107번길 39,35.172256,126.925129,,,"https://map.kakao.com/link/map/%ED%9E%90%EB%A7%81PC%EC%B9%B4%ED%8E%98,35.1722559907755,126.925128811685",,
C,전대후문점,20231215406,500m밖,1179,라붐PC,전남광주통합특별시 북구 동문대로 118,35.173446,126.925856,,,"https://map.kakao.com/link/map/%EB%9D%BC%EB%B6%90PC,35.1734462296226,126.925855530971",,
C,전대후문점,20231215406,500m밖,1277,이거시PC방,전남광주통합특별시 북구 필문대로 11,35.164719,126.920943,,,"https://map.kakao.com/link/map/%EC%9D%B4%EA%B1%B0%EC%8B%9CPC%EB%B0%A9,35.164718878912325,126.92094275035662",,
C,전대후문점,20231215406,500m밖,1327,두암게임랜드,전남광주통합특별시 북구 면앙로156번길 36,35.174944,126.927481,,,"https://map.kakao.com/link/map/%EB%91%90%EC%95%94%EA%B2%8C%EC%9E%84%EB%9E%9C%EB%93%9C,35.1749443681268,126.927481071076",,
C,전대후문점,20231215406,500m밖,1337,희망PC방,전남광주통합특별시 북구 동문대로167번길 27,35.177781,126.926948,,,"https://map.kakao.com/link/map/%ED%9D%AC%EB%A7%9DPC%EB%B0%A9,35.1777806183369,126.926948309243",,
C,전대후문점,20231215406,500m밖,1364,아이리스PC카페 문흥점,전남광주통합특별시 북구 평교로 40-1,35.180716,126.925616,,,"https://map.kakao.com/link/map/%EC%95%84%EC%9D%B4%EB%A6%AC%EC%8A%A4PC%EC%B9%B4%ED%8E%98%20%EB%AC%B8%ED%9D%A5%EC%A0%90,35.1807164271375,126.925616184916",,
C,전대후문점,20231215406,500m밖,1424,아로마PC카페,전남광주통합특별시 북구 우치로228번길 52-4,35.186355,126.907994,,,"https://map.kakao.com/link/map/%EC%95%84%EB%A1%9C%EB%A7%88PC%EC%B9%B4%ED%8E%98,35.1863549220704,126.907993713612",,
C,전대후문점,20231215406,500m밖,1518,짱게임랜드,전남광주통합특별시 북구 우치로231번길 50,35.184988,126.902724,,,"https://map.kakao.com/link/map/%EC%A7%B1%EA%B2%8C%EC%9E%84%EB%9E%9C%EB%93%9C,35.1849879550659,126.902724196505",,
C,전대후문점,20231215406,500m밖,1529,케이원피씨,전남광주통합특별시 북구 서하로 369,35.186278,126.920984,,,"https://map.kakao.com/link/map/%EC%BC%80%EC%9D%B4%EC%9B%90%ED%94%BC%EC%94%A8,35.18627756381426,126.92098445827222",,
C,전대후문점,20231215406,500m밖,1556,아이센스리그PC방 광주문흥점,전남광주통합특별시 북구 문산로 43-9,35.185965,126.922201,,봉봉펀삽,"https://map.kakao.com/link/map/%EC%95%84%EC%9D%B4%EC%84%BC%EC%8A%A4%EB%A6%AC%EA%B7%B8PC%EB%B0%A9%20%EA%B4%91%EC%A3%BC%EB%AC%B8%ED%9D%A5%EC%A0%90,35.1859646798404,126.922201258278",,
C,전대후문점,20231215406,500m밖,1557,봉봉펀삽,전남광주통합특별시 북구 문산로 43-11,35.186042,126.922065,,아이센스리그PC방 광주문흥점,"https://map.kakao.com/link/map/%EB%B4%89%EB%B4%89%ED%8E%80%EC%82%BD,35.1860421087938,126.922065042074",,
C,전대후문점,20231215406,500m밖,1568,마린PC,전남광주통합특별시 북구 대천로 138,35.186659,126.921023,,,"https://map.kakao.com/link/map/%EB%A7%88%EB%A6%B0PC,35.1866588619312,126.921022516762",,
C,전대후문점,20231215406,500m밖,1569,VIP게임랜드,전남광주통합특별시 북구 경양로 107,35.162120,126.903916,,,"https://map.kakao.com/link/map/VIP%EA%B2%8C%EC%9E%84%EB%9E%9C%EB%93%9C,35.1621196717462,126.903915986081",,
C,전대후문점,20231215406,500m밖,1588,아이컨츄리PC존,전남광주통합특별시 북구 동문대로 189,35.179218,126.929265,,,"https://map.kakao.com/link/map/%EC%95%84%EC%9D%B4%EC%BB%A8%EC%B8%84%EB%A6%ACPC%EC%A1%B4,35.1792178542472,126.929264544489",,
C,전대후문점,20231215406,500m밖,1648,사격장,전남광주통합특별시 북구 용봉택지로 82,35.178258,126.895539,,,"https://map.kakao.com/link/map/%EC%82%AC%EA%B2%A9%EC%9E%A5,35.1782578562849,126.895539313077",,
C,전대후문점,20231215406,500m밖,1665,사계절PC,전남광주통합특별시 북구 저불로70번길 6-3,35.180330,126.896268,,,"https://map.kakao.com/link/map/%EC%82%AC%EA%B3%84%EC%A0%88PC,35.1803297990643,126.89626782741",,
C,전대후문점,20231215406,500m밖,1673,노블PC카페,전남광주통합특별시 북구 경열로 231,35.160013,126.906600,,,"https://map.kakao.com/link/map/%EB%85%B8%EB%B8%94PC%EC%B9%B4%ED%8E%98,35.160012590317685,126.90659983383178",,
C,전대후문점,20231215406,500m밖,1683,말섬pc존,전남광주통합특별시 북구 우치로241번길 52,35.186583,126.902293,,,"https://map.kakao.com/link/map/%EB%A7%90%EC%84%ACpc%EC%A1%B4,35.1865830069597,126.902293005201",,
-,전대후문점,20231215406,500m안,52,3팝 PC카페,전남광주통합특별시 북구 우치로 80,35.174643,126.912912,,레벨업PC방 전남대점 / 레드포스PC아레나 광주전남대점,"https://map.kakao.com/link/map/3%ED%8C%9D%20PC%EC%B9%B4%ED%8E%98,35.1746427299461,126.912911744034",,
-,전대후문점,20231215406,500m안,52,레벨업PC방 전남대점,전남광주통합특별시 북구 우치로 80,35.174645,126.912884,레벨업,3팝 PC카페 / 레드포스PC아레나 광주전남대점,"https://map.kakao.com/link/map/%EB%A0%88%EB%B2%A8%EC%97%85PC%EB%B0%A9%20%EC%A0%84%EB%82%A8%EB%8C%80%EC%A0%90,35.174644512881756,126.91288429790049",,
-,전대후문점,20231215406,500m안,52,레드포스PC아레나 광주전남대점,전남광주통합특별시 북구 우치로 80,35.174648,126.912893,,3팝 PC카페 / 레벨업PC방 전남대점,"https://map.kakao.com/link/map/%EB%A0%88%EB%93%9C%ED%8F%AC%EC%8A%A4PC%EC%95%84%EB%A0%88%EB%82%98%20%EA%B4%91%EC%A3%BC%EC%A0%84%EB%82%A8%EB%8C%80%EC%A0%90,35.174648124623,126.912893076203",,
-,전대후문점,20231215406,500m안,92,아이팝PC방,전남광주통합특별시 북구 서방로 4,35.173432,126.913392,아이팝 PC방,,"https://map.kakao.com/link/map/%EC%95%84%EC%9D%B4%ED%8C%9DPC%EB%B0%A9,35.1734316499518,126.913391655825",,
-,전대후문점,20231215406,500m안,113,자비스PC존,전남광주통합특별시 북구 서방로 7-1,35.173602,126.913971,,,"https://map.kakao.com/link/map/%EC%9E%90%EB%B9%84%EC%8A%A4PC%EC%A1%B4,35.1736015180178,126.913971090479",,
-,전대후문점,20231215406,500m안,127,라인PC,전남광주통합특별시 북구 서방로 10,35.173349,126.913916,,,"https://map.kakao.com/link/map/%EB%9D%BC%EC%9D%B8PC,35.1733490991729,126.913916468781",,
-,전대후문점,20231215406,500m안,129,레오PC방,전남광주통합특별시 북구 우치로90번길 8-3,35.175324,126.913179,,,"https://map.kakao.com/link/map/%EB%A0%88%EC%98%A4PC%EB%B0%A9,35.1753243476404,126.913178875075",,
-,전대후문점,20231215406,500m안,157,제스트 (Zest) PC,전남광주통합특별시 북구 우치로90번길 5,35.175591,126.912955,제스트 PC방,,"https://map.kakao.com/link/map/%EC%A0%9C%EC%8A%A4%ED%8A%B8%20(Zest)%20PC,35.1755909883825,126.912954644053",,
-,전대후문점,20231215406,500m안,183,뽑기명당,전남광주통합특별시 북구 우치로90번길 21,35.175649,126.913850,,,"https://map.kakao.com/link/map/%EB%BD%91%EA%B8%B0%EB%AA%85%EB%8B%B9,35.1756493155912,126.913850372665",,
